colct_stdde,sle_site_domn,prices_prdlst_id,goods_nm,shop_nm,anals_trget_pc,Price,expsr_ordr,job_id,kf
2020-05-06,search.shopping.naver.com,F012050,엠플러스 국산 미세먼지 황사마스크 KF80 화이트 1개 - G마켓,G마켓,1910,1910,4,490009,80
2020-05-16,search.shopping.naver.com,F012050,국산 KF80 맑은하늘 황사마스크 / 일회용 마스크/방역마스크 (소량 가능 / 300개이상 배송비무료) - 기프트위키,기프트위키,2673,2673,35,490013,80
2020-05-19,search.shopping.naver.com,F012050,"[국산]아레카 KF94 입체 마스크 대형 성인용 5매입,그레이 황사 미세먼지 코로나 입체 - 핫플레이스샵",핫플레이스샵,18000,3600,35,490015,94
2020-04-28,search.shopping.naver.com,F012050,kf94 대형마스크 1개 개별포장 숨마스크 - 인터파크,인터파크,3570,3570,20,490008,94
2020-02-12,search.shopping.naver.com,F012091,[B2K] Disney BK200201 HI GUARD 소형 황사마스크 KF80 (소인용) 1개 - 쿠팡,쿠팡,2900,,15,490009,80
2020-04-16,search.shopping.naver.com,F012050,몬스터건강 에코원 1매 대형마스크KF94 국대 미마 유한킴벌리덴탈 닥터퓨리 뉴네퓨어 휴안청 블링마 메디쉴드 - 몬스터건강,몬스터건강,7900,7900,28,490001,94
2020-04-25,search.shopping.naver.com,F012050,kf94 대형마스크 1개 개별포장 숨마스크 - 클레버 몰,클레버 몰,4460,4460,8,490008,94
2020-04-10,search.shopping.naver.com,F012050,쉼표리빙 황사방역 마스크 KF94 그레이 대형 (1팩 5매) - 쿠팡,쿠팡,15930,3186,37,490015,94
2020-04-12,search.shopping.naver.com,F012050,코젠더스 대형(성인) KF94 황사마스크 1매 - adonai,adonai,3000,3000,29,490015,94
2020-05-07,search.shopping.naver.com,F012050,파인텍 네퓨어 황사 미세먼지 일회용 마스크 KF94 5매입x4개 - 옥션,옥션,57800,2890,24,490001,94
2020-04-12,search.shopping.naver.com,F012050,휴안청플러스 국내생산 KF94 마스크 5매 식약처인증 미세먼지 황사 방역마스크 - 패션플러스,패션플러스,12500,2500,2,490015,94
2020-04-27,search.shopping.naver.com,F012050,편한숨 오디널 황사 방역마스크 KF94 소형 5매입 1개 - VitaGs,VitaGs,12500,2500,24,490008,94
2020-05-12,search.shopping.naver.com,F012050,KF80 NEW 매일편한 황사 미세먼지 여름용 일회용 마스크 대형 5매입 x 1개 - 11번가,11번가,10680,2136,23,490009,80
2020-04-14,search.shopping.naver.com,F012050,닥터퓨리 KF94 미세먼지 황사마스크 10개 - G마켓,G마켓,29660,2966,4,490002,94
2020-04-27,search.shopping.naver.com,F012050,위케어 의약외품 KF94 방역 황사 마스크 대형 5매 소형 5매 - G마켓,G마켓,6640,1328,61,490015,94
2020-04-28,search.shopping.naver.com,F012050,닥터퓨리 kf94 뽑아쓰는 마스크 소형 30매입 - 소녀상점,소녀상점,73000,2433.333333,10,490002,94
2020-03-30,search.shopping.naver.com,F012050,당일출고 [5매입] KF94 마스크 대형 방역 미세먼지 황사 정품 - 티몬,티몬,25030,5006,33,490015,94
2020-03-22,search.shopping.naver.com,F012050,★★★ 소형 KF94 (어린이용) 마스크 1개 (5매입) x 3개 (총15매입) - 동백꽃상회,동백꽃상회,48000,3200,44,490008,94
2020-04-12,search.shopping.naver.com,F012050,국산 KF94 마스크 미세먼지 대형 10매입 - G마켓,G마켓,35580,3558,69,490015,94
2020-02-21,search.shopping.naver.com,F012091,참좋은 주니어 방한대 [검정] 1개 어린이 마스크 성인마스크 KF94 황사마스크 어린이캐릭터마스크 면마스크 방한 무형광 - 티몬,티몬,1800,,83,490008,94
2020-03-31,search.shopping.naver.com,F012050,국내제조 닥터퓨리 KF94황사마스크 코로나마스크 1매입(개별포장) X 5개 최신제조 2023년까지 - 남자닷컴,남자닷컴,32500,6500,2,490002,94
2020-04-16,search.shopping.naver.com,F012050,늘푸른 황사마스크 KF80 중형 화이트 10매-10개 개별포장 - 인터파크,인터파크,34240,3424,59,490013,80
2020-04-17,search.shopping.naver.com,F012050,미세먼지 황사/방역용 마스크(KF94) 제약회사마스크 일동 푸른숲 동아 더스논 미세먼지마스크 - 핑팜-,핑팜-,3990,3990,2,490003,94
2020-04-19,search.shopping.naver.com,F012050,소확행몰 맑은하늘 대형 황사 마스크 KF80 - 5개 (마스크재고 보유) - 소확행 몰,소확행 몰,15000,3000,22,490013,80
2020-04-02,search.shopping.naver.com,F012050,뉴네퓨어 황사 방역용 마스크 KF94 대형 성인용 10매 - 옥션,옥션,47150,4715,17,490001,94
2020-02-11,search.shopping.naver.com,F012091,(주문제작)이니셜 반사 마스크 팬클럽 굿즈 단체 어린이집 학교 행사 원하는 문구1개 제작 - 마이크로스,마이크로스,4000,,6,490009,80
2020-03-29,search.shopping.naver.com,F012050,(당일출고)국산 KF94 대형 마스크 랜덤 10매입 - G마켓,G마켓,45930,4593,66,490015,94
2020-05-28,search.shopping.naver.com,F012050,MPLUS KF80 마스크/ 개별 포장 황사방역 마스크 /미세먼지 마스크 - Merci BEAUcoup,Merci BEAUcoup,1780,1780,2,490013,80
2020-04-12,search.shopping.naver.com,F012050,더숨 프레쉬 에버 에어마스크 kf94 대형 1매 - 올랜즈1,올랜즈1,3000,3000,46,490015,94
2020-02-11,search.shopping.naver.com,F012091,3Q 미세 먼지 KF94 대형 1회용 일회용 마스크 1개 - 가치파는몰,가치파는몰,4460,,69,490008,94
2020-04-09,search.shopping.naver.com,F012050,당일출고 애니프리 KF80 필터 사용 황사 마스크 10매 - 옥션,옥션,19920,1992,71,490013,80
2020-04-12,search.shopping.naver.com,F012050,애경마스크 kf94 4중구조 대형마스크 개별포장 1개 의약외품 - 한코리아쇼핑,한코리아쇼핑,3910,3910,32,490008,94
2020-04-26,search.shopping.naver.com,F012050,[애니프리] 미세먼지 마스크 대형 10매 / KF80 시험 기준 통과 - 11번가,11번가,18610,1861,64,490013,80
2020-05-11,search.shopping.naver.com,F012050,애니프리 KF80 필터 사용 황사 마스크 10매/당일출고 - 인터파크,인터파크,14000,1400,39,490013,80
2020-03-12,search.shopping.naver.com,F012050,황사 방역 미세먼지 항균바이러스 마스크 KF94/KF80/항균 - CARRYSOME,CARRYSOME,3500,3500,13,490015,94
2020-05-28,search.shopping.naver.com,F012050,국내생산 일회용 4중필터 미세먼지 일월 황사마스크 / 올가드 KF94 대형 - by씨엘,by씨엘,990,990,17,490015,94
2020-05-03,search.shopping.naver.com,F012050,맑은하늘 황사마스크 대형 KF80 화이트 1매 - G마켓,G마켓,1900,1900,81,490013,80
2020-04-17,search.shopping.naver.com,F012050,퓨어365 방역마스크 황사 방역용 마스크 (대형) KF94 / KF80 1팩(5매) - 폰케이에스,폰케이에스,15000,3000,21,490015,94
2020-03-12,search.shopping.naver.com,F012050,네퓨어 대형 블랙 KF94 1개 [마스크] KF94 끈조절 블랙 네퓨어 대형 성인용 황사마스크 - 티몬,티몬,3220,3220,75,490015,94
2020-05-16,search.shopping.naver.com,F012050,애니프리 KF80 필터 사용 황사 마스크 10매/당일출고 - 인터파크,인터파크,14000,1400,10,490013,80
2020-04-19,search.shopping.naver.com,F012050,일월 KF94 미세먼지 마스크 대형 4중필터 개별포장 30매 - G마켓,G마켓,77410,2580.333333,62,490015,94
2020-05-22,search.shopping.naver.com,F012050,코지(리빙) (당일출고) 코지 KF94 마스크 대형 5매입 블랙 - 옥션,옥션,11450,2290,79,490015,94
2020-04-21,search.shopping.naver.com,F012050,케이보건용마스크미카 KF94 10매 [당일출고] 국내생산 국대마스크 KF94 화이트 대형 10개 총 5매x2 - 티몬,티몬,27070,2707,39,490015,94
2020-05-06,search.shopping.naver.com,F012050,kf94 대형마스크 1개 개별포장 숨마스크 - 인터파크,인터파크,3570,3570,11,490008,94
2020-05-20,search.shopping.naver.com,F012050,인가드 KF94 대형마스크 색상/브랜드 랜덤발송 10매 - 옥션,옥션,20000,2000,76,490015,94
2020-05-27,search.shopping.naver.com,F012050,편한숨 조이 황사 방역마스크 KF94 대형 1매입 1개 - 쿠팡,쿠팡,2200,2200,13,490008,94
2020-04-19,search.shopping.naver.com,F012050,맑은하늘 황사마스크 대형 KF80 화이트 1매 - 휴니프,휴니프,2700,2700,18,490013,80
2020-05-23,search.shopping.naver.com,F012050,[크린웰] KF80 미세먼지 마스크 20매입 실속형 무료배송 코로나 19 대비 식약처 허가 - 티몬,티몬,21530,1076.5,65,490013,80
2020-05-16,search.shopping.naver.com,F012050,국산 kf80 마스크 대형 - 도그몰,도그몰,2300,2300,19,490013,80
2020-04-12,search.shopping.naver.com,F012050,늘푸른 황사마스크 KF80 중형 화이트 10매-10개 개별포장 - 인터파크,인터파크,34240,3424,43,490013,80
2020-03-08,search.shopping.naver.com,F012050,[더샵스토어] 인기 프리미엄 4중필터 하이가드 dust마스크 KF80 대형 1개입 - 위메프,위메프,7620,,22,490013,80
2020-04-16,search.shopping.naver.com,F012050,애경마스크 kf94 4중구조 대형마스크 개별포장 1개 - FOR BODY,FOR BODY,3990,3990,5,490008,94
2020-05-05,search.shopping.naver.com,F012050,마스크 소형 소형마스크 일회용마스크 화이트 개별밀봉포장 1개 KF94 - 위메프,위메프,4990,4990,17,490008,94
2020-02-21,search.shopping.naver.com,F012091,파인텍 네퓨어 황사방역용 마스크 KF94 대형 - 퍼니맘,퍼니맘,3890,,1,490001,94
2020-04-01,search.shopping.naver.com,F012050,애니프리 KF80 인증 필터 사용 마스크 대형 10매(I024) - G마켓,G마켓,19650,1965,61,490013,80
2020-05-06,search.shopping.naver.com,F012050,(대한도매) kf94 대형마스크 1개 개별포장 늘푸른마스크 - 11번가,11번가,4320,4320,30,490008,94
2020-02-17,search.shopping.naver.com,F012091,보령제약 황사 방역마스크 KF99 - 스타일주,스타일주,7500,,21,490010,99
2020-04-17,search.shopping.naver.com,F012050,KF80 미세먼지 황사마스크 보건마스크 방역마스크 - G마켓,G마켓,2170,2170,64,490013,80
2020-02-16,search.shopping.naver.com,F012091,네오세이프 입체면마스크[화이트 성인용] 1개 어린이 마스크 성인마스크 KF94 황사마스크 어린이캐릭터마스크 면마스크 방한 무형광 - 티몬,티몬,3000,,28,490008,94
2020-03-08,search.shopping.naver.com,F012050,[더샵스토어] 인기 프리미엄 크린 작은먼지 dust마스크 KF80 대형 1개입 - 위메프,위메프,7810,,21,490013,80
2020-04-13,search.shopping.naver.com,F012050,1개 - 5매입 KF94 쉼표리빙 미세먼지 황사 마스크 대형 일회용 KF80 ( 그레이) - 헤르메스타운,헤르메스타운,15390,3078,3,490009,94
2020-03-01,search.shopping.naver.com,F012050,(3월2일 출고) 이지팜 황사마스크 대형 KF80 흰색 - G마켓,G마켓,4490,,11,490013,80
2020-05-17,search.shopping.naver.com,F012050,와이엠 황사마스크 10매 KF80 대형 코로나19 예방마스크 낱개포장 일회용마스크 - 위메프,위메프,19800,1980,44,490013,80
2020-04-26,search.shopping.naver.com,F012050,[국산]KF80마스크 대형/개별포장 계절알뜰판촉물 - 대한판촉,대한판촉,2640,2640,30,490013,80
2020-05-09,search.shopping.naver.com,F012050,KF94마스크 대형(30매입) 식약처허가 합리적인 마스크 - 펜사랑,펜사랑,68500,2283.333333,28,490015,94
2020-05-13,search.shopping.naver.com,F012050,KF94/KF80마스크 대형 일회용 마스크(5매/개별포장) - 스마트올팜,스마트올팜,12100,2420,45,490015,94
2020-03-03,search.shopping.naver.com,F012050,[더샵스토어] 인기 프리미엄 4중필터 하이가드 dust마스크 KF80 대형 1개입 - 위메프,위메프,7620,,26,490013,80
2020-02-18,search.shopping.naver.com,F012091,도부라이프텍 도부 초미세먼지 황사 방역마스크 KF94 - 방역황사마스크 전문점,방역황사마스크 전문점,3900,,38,490008,94
2020-04-30,search.shopping.naver.com,F012050,KF94 대형 입체 마스크 1개 / 화이트 / 개별포장 / 제로베이 / 황사 미세먼지 - 그린프로그,그린프로그,2780,2780,32,490008,94
2020-04-25,search.shopping.naver.com,F012050,아이정 KF94 황사 방역용 마스크 F9-W - 아이정,아이정,2290,2290,4,490008,94
2020-04-24,search.shopping.naver.com,F012050,"KF94 황사방역마스크 개별대형1개입/끈조절가능,국산, 식약처인증 - 반짝반짝이네",반짝반짝이네,3200,3200,27,490015,94
2020-02-17,search.shopping.naver.com,F012091,3Q 미세 먼지 KF94 대형 1회용 일회용 마스크 1개 - Wonder Bay,Wonder Bay,4290,,2,490008,94
2020-04-04,search.shopping.naver.com,F012050,[올가드] 식약처허가 KF94 마스크 대형 미세먼지황사 10개 개별포장 - 위메프,위메프,45000,4500,40,490015,94
2020-05-07,search.shopping.naver.com,F012050,엠플러스 국산 미세먼지 황사마스크 KF80 화이트 1개 - G마켓,G마켓,1900,1900,75,490013,80
2020-05-19,search.shopping.naver.com,F012050,(대한도매) kf94 대형마스크 1개 개별포장 늘푸른마스크 - 스토어워치,스토어워치,3840,3840,9,490008,94
2020-05-15,search.shopping.naver.com,F012050,네퓨어 KF94 마스크 10매 미세먼지 황사 차단 일회용 마스크 대형/소형 - 11번가,11번가,32400,3240,23,490001,94
2020-02-18,search.shopping.naver.com,F012091,핑크퐁입체마스크[핑크 어린이용] 1개 어린이 마스크 성인마스크 KF94 황사마스크 어린이캐릭터마스크 면마스크 방한 무형광 - 티몬,티몬,5000,,60,490008,94
2020-04-14,search.shopping.naver.com,F012050,늘푸른 황사마스크 KF80 중형 화이트 2매 - 썸타는언니,썸타는언니,7000,3500,45,490013,80
2020-04-18,search.shopping.naver.com,F012050,일월 KF94 미세먼지 마스크 대형 4중필터 개별포장 30매 - G마켓,G마켓,77410,2580.333333,63,490015,94
2020-04-09,search.shopping.naver.com,F012050,[히트상품] 당일출고 국내생산 KF94마스크 대형10매입 오후 5시이전 주문건 당일 택배발송 - 티몬,티몬,27070,2707,71,490015,94
2020-05-06,search.shopping.naver.com,F012050,크린탑 kf94 대형 개별포장 1개 x 10 개입 - 11번가,11번가,28130,2813,36,490008,94
2020-05-27,search.shopping.naver.com,F012050,KF80 미세먼지 방역 마스크 대형 1매(개별포장) - G마켓,G마켓,1770,1770,64,490013,80
2020-05-14,search.shopping.naver.com,F012050,엠플러스 국산 미세먼지 황사마스크 KF94 화이트 1개 - 옥션,옥션,2490,2490,25,490008,94
2020-04-21,search.shopping.naver.com,F012050,늘푸른 황사마스크 KF80 중형 화이트 2매 - 쿠팡,쿠팡,7000,3500,62,490013,80
2020-04-01,search.shopping.naver.com,F012050,국내생산 초미세먼지마스크 코로나바이러스 KF94 5매입(대형) - 또와썹,또와썹,18500,3700,48,490015,94
2020-04-02,search.shopping.naver.com,F012050,닥터퓨리 KF94 미세 황사마스크 대형 20매 1BOX - 11번가,11번가,69420,3471,1,490002,94
2020-02-15,search.shopping.naver.com,F012091,참좋은 주니어 방한대 [백색] 1개 어린이 마스크 성인마스크 KF94 황사마스크 어린이캐릭터마스크 면마스크 방한 무형광 - 티몬,티몬,2000,,102,490008,94
2020-03-19,search.shopping.naver.com,F012050,크린숨 방역마스크 KF94 황사 미세먼지 코로나 대형 - 11번가,11번가,3480,3480,4,490015,94
2020-03-14,search.shopping.naver.com,F012050,[더샵스토어] 인기 프리미엄 아이비스 힉스윌로우리프쉐이프페이스마스크(KF80-먼지) - 위메프,위메프,8210,8210,29,490013,80
2020-04-07,search.shopping.naver.com,F012050,소확행몰 맑은하늘 대형 황사 마스크 KF80 - 5개 - 소확행 몰,소확행 몰,15000,3000,46,490013,80
2020-02-15,search.shopping.naver.com,F012091,블루인더스 바이온 이지숨 황사 방역용 마스크 KF94 - 야몽,야몽,2400,,29,490008,94
2020-04-20,search.shopping.naver.com,F012050,[개별포장] 제로베이 KF94 더질러 일회용 마스크 식약처 인증 대형 1매입 - 할인24,할인24,2800,2800,25,490015,94
2020-05-22,search.shopping.naver.com,F012050,식약처인증 KF94 크린웰 마스크 대형 화이트 5매 (개별포장) - 멸치쇼핑,멸치쇼핑,19600,3920,24,490015,94
2020-04-06,search.shopping.naver.com,F012050,"KF94 황사방역마스크 개별대형1개입/끈조절가능,국산, 식약처인증 - 반짝반짝이네",반짝반짝이네,3500,3500,5,490015,94
2020-05-12,search.shopping.naver.com,F012050,국내산 황사 방역 마스크 KF80 대형 1개 (브랜드랜덤) - 옥션,옥션,2500,2500,31,490009,80
2020-03-30,search.shopping.naver.com,F012050,국산 황사방역용 KF94 마스크 대형 성인용 2팩 10매 - G9,G9,45160,4516,15,490015,94
2020-03-29,search.shopping.naver.com,F012050,[더조은] 더조은 황사방역용 마스크 kf94 대형 5개입(블랙) - 위메프,위메프,22500,4500,57,490015,94
2020-05-26,search.shopping.naver.com,F012050,(대한도매) kf94 대형마스크 1개 개별포장 늘푸른마스 - G마켓,G마켓,4850,4850,36,490008,94
2020-04-25,search.shopping.naver.com,F012050,위케어 의약외품 KF94 방역 황사 마스크 대형 5매 소형 5매 - 옥션,옥션,6660,1332,53,490015,94
2020-05-28,search.shopping.naver.com,F012050,미세먼지 차단 미세먼지 황사 차단 네퓨어 황사방역마스크 대형 KF94 3P-로고 인쇄 - 금강산업,금강산업,3564,1188,10,490001,94
2020-05-07,search.shopping.naver.com,F012050,[네퓨어] 파인텍 네퓨어 KF94 대형(5매입X2개) 황사 미세먼지 끈조절 마스크 - 위메프,위메프,25900,2590,25,490001,94
2020-04-20,search.shopping.naver.com,F012050,KF94 마스크 긴급공수 코로나19 프리데이 대형 10매입 - 옥션,옥션,30270,3027,57,490015,94
2020-02-17,search.shopping.naver.com,F012091,3Q 미세 먼지 KF94 대형 1회용 일회용 마스크 1개 - 제이에이이시스,제이에이이시스,4880,,6,490008,94
2020-05-29,search.shopping.naver.com,F012050,일월 KF94 국내생산 보건용마스크 대형 5매 국내배송 - G9,G9,15920,3184,73,490015,94
2020-05-21,search.shopping.naver.com,F012050,크린웰 국산 KF80 황사미세먼지 마스크 대형 - 로이프렌즈,로이프렌즈,2000,2000,51,490013,80
2020-05-19,search.shopping.naver.com,F012050,kf94 대형마스크 1개 개별포장 늘푸른마스크 - G마켓,G마켓,4620,4620,28,490008,94
2020-04-16,search.shopping.naver.com,F012050,KF80 마스크 대형 미세먼지 황사 일회용마스크 5매 - 인터파크,인터파크,14880,2976,36,490013,80
2020-05-06,search.shopping.naver.com,F012050,위케어 의약외품 KF94 방역 황사 마스크 대형 5매 소형 5매 - G마켓,G마켓,6640,1328,38,490015,94
2020-04-17,search.shopping.naver.com,F012050,KF80 일회용 마스크 뉴크린웰 - G마켓,G마켓,2580,2580,42,490013,80
2020-04-12,search.shopping.naver.com,F012050,늘푸른 황사마스크(KF80) 화이트 중형 X 10매 - G마켓,G마켓,38900,3890,58,490013,80
2020-05-08,search.shopping.naver.com,F012050,QUQU 더안심 황사 미세먼지 방역 마스크 KF94 - 쿠팡,쿠팡,2300,2300,6,490008,94
2020-05-19,search.shopping.naver.com,F012050,KF80 크린웰 스타일 황사마스크 대형 - 5월생산(19일 화요일 발송) - 카이샤,카이샤,1990,1990,53,490013,80
2020-04-23,search.shopping.naver.com,F012050,KF94 마스크 KF80 미세먼지 대형 소형 황사 크린탑 크리넥스 웰킵스 일회용마스크 - DGG프랜즈,DGG프랜즈,2800,2800,32,490009,80
2020-03-23,search.shopping.naver.com,F012050,성인용 KF80 대형 황사마스크 국내생산 식약청인증 1매가격입니다 - 뜨악,뜨악,4800,4800,59,490013,80
2020-05-01,search.shopping.naver.com,F012050,(재고보유 오늘출발) 뉴네퓨어 건영 이룸 대형 성인용 KF94 코로나 마스크 랜덤발송 1매 - SHALL I,SHALL I,3490,3490,31,490001,94
2020-05-24,search.shopping.naver.com,F012050,(재고보유 오늘출발) 뉴네퓨어 건영 이룸 대형 성인용 KF94 코로나 마스크 랜덤발송 1매입 - SHALL I,SHALL I,2990,2990,47,490015,94
2020-02-13,search.shopping.naver.com,F012091,크리넥스 황사용 마스크 KF80 소형 1개 / 3중 구조 / 미세먼지 / 어린이황사마스크 / 코로나바이러스 - 11번가,11번가,1720,,27,490009,80
2020-04-22,search.shopping.naver.com,F012050,뉴네퓨어 황사 방역용 마스크 KF94 대형 성인용5매입 - 브리에쥬르,브리에쥬르,21150,4230,10,490001,94
2020-05-27,search.shopping.naver.com,F012050,(대한도매) kf94 대형마스크 1개 개별포장 숨마스크 - 11번가,11번가,3800,3800,27,490008,94
2020-05-05,search.shopping.naver.com,F012050,SK 외 KF94 미세먼지 마스크 대형/중형/소형 10매 (블랙/화이트) - G9,G9,25900,2590,16,490015,94
2020-05-01,search.shopping.naver.com,F012050,(4/15입고) 더숨 에버프레쉬 에어마스크 KF94 대형 화이트 1개입x10매 - 한알 ABM,한알 ABM,25500,2550,47,490015,94
2020-05-10,search.shopping.naver.com,F012050,[개별포장]닥터로드 KF94 황사 미세먼지 마스크/대형/일회용/5매 - 위메프,위메프,11900,2380,75,490015,94
2020-04-15,search.shopping.naver.com,F012050,국산 KF80 대형 황사방역마스크 1개 - 보건몰닷컴,보건몰닷컴,2800,2800,5,490009,80
2020-05-22,search.shopping.naver.com,F012050,KF80 마스크 대형 미세먼지 황사 마스크 - 참무역,참무역,1790,1790,1,490013,80
